Name,Rating,Reviews,Culture,About
L&T Construction,4.0,(6.6k),"Job Security, Skill Development / Learning, Salary & Benefits",Engineering & Construction | Chennai +406 other locations
JSW Steel,3.9,(6.6k),"Job Security, Skill Development / Learning",Iron & Steel | Ballari +172 other locations
Sun Pharmaceutical Industries,4.1,(6.6k),"Job Security, Skill Development / Learning, Salary & Benefits",Pharma | Vadodara +244 other locations
Zydus Lifesciences,4.0,(6.5k),"Salary & Benefits, Job Security, Skill Development / Learning",Pharma | Ahmedabad +170 other locations
Hindustan Unilever,4.2,(6.5k),"Skill Development / Learning, Company Culture, Job Security",FMCG | Mumbai +503 other locations
Equitas Small Finance Bank,4.4,(6.5k),"Company Culture, Job Security, Work Life Balance",Banking | Chennai +435 other locations
KPMG India,3.4,(6.3k),"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Management Consulting | Bangalore / Bengaluru +104 other locations
ITC,3.9,(6.3k),"Job Security, Skill Development / Learning",FMCG | Bangalore / Bengaluru +358 other locations
Ekart Logistics,3.9,(6.2k),Skill Development / Learning,Bangalore / Bengaluru +704 other locations
Axis Max Life Insurance,4.0,(6.2k),"Skill Development / Learning, Company Culture, Work Life Balance",Insurance | New Delhi +466 other locations
Ujjivan Small Finance Bank,4.0,(6.1k),"Company Culture, Work Life Balance, Job Security",Banking | Bangalore / Bengaluru +505 other locations
FIS,3.9,(6k),"Work Life Balance, Company Culture",FinTech | Pune +58 other locations
Tata Projects,4.2,(5.9k),"Job Security, Salary & Benefits, Company Culture",Engineering & Construction | Mumbai +266 other locations
HCL Group,3.6,(5.8k),Job Security,IT Services & Consulting | Chennai +93 other locations
Megha Engineering & Infrastructures,3.9,(5.8k),Promotions / Appraisal,Engineering & Construction | Hyderabad / Secunderabad +375 other locations
Indian Army,4.7,(5.7k),"Job Security, Company Culture, Work Satisfaction",Defence & Aerospace | New Delhi +349 other locations
IIFL Finance,4.0,(5.7k),"Work Life Balance, Company Culture, Job Security",NBFC | Mumbai +757 other locations
L&T Technology Services,3.2,(5.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Bangalore / Bengaluru +89 other locations
Oracle,3.7,(5.6k),"Work Life Balance, Job Security",Software Product | Bangalore / Bengaluru +54 other locations
Coforge,3.3,(5.6k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",IT Services & Consulting | Noida +101 other locations
Udaan,3.9,(5.6k),"Salary & Benefits, Skill Development / Learning",Internet | Bangalore / Bengaluru +364 other locations
Bajaj Allianz Life Insurance,3.9,(5.6k),Salary & Benefits,Insurance | Pune +573 other locations
Muthoot Finance,3.6,(5.5k),"Promotions / Appraisal, Work Satisfaction, Company Culture",NBFC | Bangalore / Bengaluru +730 other locations
eClerx,3.2,(5.5k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Pune +28 other locations
Virtusa Consulting Services,3.7,(5.5k),"Promotions / Appraisal, Work Satisfaction, Job Security",IT Services & Consulting | Hyderabad / Secunderabad +50 other locations
JLL,4.1,(5.5k),"Job Security, Company Culture, Work Life Balance",Real Estate | Gurgaon / Gurugram +75 other locations
Omega Healthcare,3.7,(5.5k),"Promotions / Appraisal, Salary & Benefits",BPO | Chennai +63 other locations
HSBC Group,3.9,(5.4k),"Job Security, Company Culture, Work Life Balance",Financial Services | Bangalore / Bengaluru +61 other locations
Indiamart Intermesh,3.6,(5.3k),"Promotions / Appraisal, Work Satisfaction, Company Culture",Internet | Noida +164 other locations
Cholamandalam Investment & Finance,3.9,(5.2k),Salary & Benefits,Financial Services | Chennai +768 other locations
Aurobindo Pharma,4.0,(5.2k),"Job Security, Salary & Benefits, Work Life Balance",Pharma | Hyderabad / Secunderabad +103 other locations
Siemens,4.0,(5.2k),"Company Culture, Work Life Balance, Job Security",Industrial Automation | Bangalore / Bengaluru +147 other locations
Standard Chartered,3.6,(5.1k),"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",Banking | Chennai +67 other locations
Shapoorji Pallonji Group,4.1,(5.1k),"Job Security, Company Culture, Work Life Balance",Engineering & Construction | Mumbai +183 other locations
DMart,3.9,(5.1k),"Job Security, Company Culture",Retail | Mumbai +232 other locations
CGI Group,4.0,(5.1k),"Work Life Balance, Company Culture, Job Security",IT Services & Consulting | Bangalore / Bengaluru +42 other locations
Firstsource Solutions,3.6,(5.1k),"Promotions / Appraisal, Salary & Benefits, Company Culture",BPO | Bangalore / Bengaluru +68 other locations
GlobalLogic,3.6,(5.1k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Hyderabad / Secunderabad +54 other locations
ICICI Lombard General Insurance Company,3.6,(5k),"Promotions / Appraisal, Work Satisfaction, Company Culture",Insurance | Mumbai +297 other locations
Bosch Global Software Technologies,3.8,(5k),"Work Life Balance, Job Security, Company Culture",IT Services & Consulting | Bangalore / Bengaluru +41 other locations
BigBasket,3.9,(5k),"Job Security, Skill Development / Learning",Internet | Bangalore / Bengaluru +127 other locations
Apollo Hospitals,4.0,(5k),"Job Security, Company Culture, Work Life Balance",Healthcare | Chennai +216 other locations
UST,3.8,(4.9k),Work Life Balance,IT Services & Consulting | Bangalore / Bengaluru +48 other locations
Ashok Leyland,4.1,(4.9k),"Skill Development / Learning, Work Life Balance, Company Culture",Automobile | Chennai +231 other locations
Cyient,3.6,(4.9k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Hyderabad / Secunderabad +43 other locations
Citicorp,3.7,(4.9k),Salary & Benefits,Financial Services | Pune +65 other locations
Mahindra Finance,4.0,(4.9k),"Company Culture, Work Life Balance, Skill Development / Learning",NBFC | Mumbai +697 other locations
SMFG India Credit,3.9,(4.9k),"Salary & Benefits, Job Security",NBFC | Mumbai +562 other locations
Hero MotoCorp,4.1,(4.8k),"Company Culture, Work Life Balance, Work Satisfaction",Automobile | Gurgaon / Gurugram +345 other locations
Manappuram Finance,3.9,(4.8k),"Promotions / Appraisal, Skill Development / Learning",NBFC | Bangalore / Bengaluru +593 other locations
JustDial,3.5,(4.7k),"Promotions / Appraisal, Work Satisfaction, Company Culture",Internet | Noida +210 other locations
Swiggy,3.7,(4.7k),"Job Security, Promotions / Appraisal, Work Satisfaction",Internet | Bangalore / Bengaluru +215 other locations
Eviden,3.6,(4.6k),"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | Pune +36 other locations
vivo,4.1,(4.6k),"Skill Development / Learning, Company Culture, Work Life Balance",Consumer Electronics & Appliances | Noida +401 other locations
BNY,3.8,(4.6k),"Company Culture, Work Life Balance",Financial Services | Pune +23 other locations
SBI Cards & Payment Services,3.7,(4.6k),"Promotions / Appraisal, Work Satisfaction, Company Culture",Financial Services | New Delhi +406 other locations
IQVIA,3.8,(4.6k),"Work Life Balance, Job Security",Clinical Research | Bangalore / Bengaluru +61 other locations
Kalpataru Projects International,4.2,(4.6k),"Job Security, Skill Development / Learning, Salary & Benefits",Engineering & Construction | Mumbai +290 other locations
PolicyBazaar,3.7,(4.5k),Salary & Benefits,Internet | Gurgaon / Gurugram +128 other locations
